scpca_project_id	scpca_sample_id	scpca_library_id	submitter_id
SCPCP000023	SCPCS000758	SCPCL001120	SJOS003939_X2_sc
SCPCP000023	SCPCS000760	SCPCL001122	SJOS001107_X3
SCPCP000023	SCPCS000761	SCPCL001123	SJOS001108_X1
SCPCP000023	SCPCS000762	SCPCL001124	SJOS001112_X1
SCPCP000023	SCPCS000763	SCPCL001125	SJOS001116_X2
SCPCP000023	SCPCS000764	SCPCL001126	SJOS001132_X1
SCPCP000023	SCPCS000766	SCPCL001128	SJOS003939_X2_sn
SCPCP000023	SCPCS000767	SCPCL001129	SJOS010929_X1
SCPCP000023	SCPCS000768	SCPCL001130	SJOS012409_X1
SCPCP000023	SCPCS000769	SCPCL001131	SJOS013768_X1
SCPCP000023	SCPCS000771	SCPCL001133	SJOS013769_X1
SCPCP000023	SCPCS000772	SCPCL001134	SJOS016015_X1
SCPCP000023	SCPCS000774	SCPCL001136	SJOS030101_X1
SCPCP000023	SCPCS000776	SCPCL001138	SJOS030279_X1
SCPCP000023	SCPCS000777	SCPCL001139	SJOS030441_X1
SCPCP000023	SCPCS000780	SCPCL001142	SJOS063819_X1
SCPCP000023	SCPCS000782	SCPCL001144	SJOS063833_X1
SCPCP000023	SCPCS000783	SCPCL001145	SJOS063833_X2
SCPCP000023	SCPCS000784	SCPCL001146	SJOS001105_M1
SCPCP000023	SCPCS000785	SCPCL001147	SJOS001107_M2
SCPCP000023	SCPCS000786	SCPCL001148	SJOS001108_M1
SCPCP000023	SCPCS000787	SCPCL001149	SJOS001112_M2
SCPCP000023	SCPCS000788	SCPCL001150	SJOS001116_M2
SCPCP000023	SCPCS000790	SCPCL001152	SJOS001132_M1
SCPCP000023	SCPCS000791	SCPCL001153	SJOS010929_D1
SCPCP000023	SCPCS000792	SCPCL001154	SJOS010930_D1
SCPCP000023	SCPCS000793	SCPCL001155	SJOS012409_D1
SCPCP000023	SCPCS000795	SCPCL001157	SJOS013768_M1
SCPCP000023	SCPCS000796	SCPCL001158	SJOS013769_D1
SCPCP000023	SCPCS000797	SCPCL001159	SJOS016015_D1
SCPCP000023	SCPCS000799	SCPCL001161	SJOS030101_D1
SCPCP000023	SCPCS000800	SCPCL001162	SJOS030272_D1
SCPCP000023	SCPCS000803	SCPCL001165	SJOS030597_D1
SCPCP000023	SCPCS000806	SCPCL001168	SJOS030645_D2
SCPCP000023	SCPCS000807	SCPCL001169	SJOS031478_D1
SCPCP000023	SCPCS000809	SCPCL001171	SJOS063819_D2
SCPCP000023	SCPCS000813	SCPCL001175	SJOS063833_D2
