scimilarity_celltype_annotation	cl_annotation
fat cell	adipocyte
native cell	cell
type II pneumocyte	pulmonary alveolar type 2 cell
type I pneumocyte	pulmonary alveolar type 1 cell
lung ciliated cell	lung multiciliated epithelial cell
glandular epithelial cell	glandular secretory epithelial cell
animal cell	eukaryotic cell
respiratory epithelial cell	respiratory tract epithelial cell
lung neuroendocrine cell	pulmonary neuroendocrine cell
